id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-12,forks-0,470,DN-150,2732.131143,1,689920.5106073038,33.90385463695712
1,forks-0,consumers-0,240,DN-150,2597.930231,1,350084.5539091632,16.93023064858368
2,forks-0,forks-1,390,DN-25,100.297057,1,302399.7057658114,14.662310707902
3,forks-1,forks-2,60,DN-32,85.634747,1,46606.9872631587,1.8114911902641
4,forks-2,forks-3,200,DN-25,83.823256,1,152764.6610382048,6.901695634880001
5,forks-3,consumers-1,100,DN-32,76.92156,1,77304.05022746,2.9215599327799997
6,forks-1,forks-11,460,,0.0,0,0.0,0.0
7,forks-11,forks-10,560,,0.0,0,0.0,0.0
8,forks-10,forks-9,780,DN-50,257.665519,-1,697571.6198108456,32.82604015139171
9,forks-9,forks-8,680,,0.0,0,0.0,0.0
10,forks-8,consumers-4,240,,0.0,0,0.0,0.0
11,forks-8,forks-7,570,,0.0,0,0.0,0.0
12,forks-7,consumers-3,240,DN-40,191.826738,1,203262.06711849407,9.826737737268479
13,forks-7,forks-6,420,DN-150,2877.348585,-1,620719.694984046,31.0211506084704
14,forks-6,producers-1,250,DN-200,5710.338874,-1,448063.187577017,20.40006494403627
15,forks-6,forks-5,580,DN-150,2812.590224,1,854600.9742518975,42.39282126081024
16,forks-5,forks-4,1030,,0.0,0,0.0,0.0
17,forks-4,forks-12,1000,,0.0,0,0.0,0.0
18,forks-7,consumers-2,330,DN-150,2654.500697,1,482650.2641200878,23.500696650678716
19,forks-12,producers-0,190,DN-150,2745.867942,-1,279083.5514396444,13.73679939941056
20,forks-5,consumers-9,540,DN-150,2770.197403,1,794088.4557843036,39.197403126944636
21,forks-4,consumers-8,610,DN-65,385.966519,1,589799.7951064343,27.966518515504575
23,forks-4,producers-4,492,DN-65,409.02416,-1,477673.2624494822,23.057641332830205
24,forks-14,forks-2,910,,0.0,0,0.0,0.0
25,forks-10,consumers-7,360,DN-40,224.839478,1,309039.44271931873,15.83947838624832
26,forks-13,consumers-7,390,,0.0,0,0.0,0.0
27,producers-3,forks-9,290,DN-50,270.106494,1,260254.20837349337,12.440975781497844
28,forks-15,consumers-4,760,DN-32,136.254501,1,606879.8185861466,27.254500892223803
29,forks-15,consumers-6,610,DN-50,346.211072,1,559020.3157735731,29.211072331125244
30,forks-15,forks-16,880,DN-65,528.344436,-1,872570.9203229146,45.87886309437235
31,forks-16,consumers-5,300,DN-65,533.711636,1,297746.3870477136,15.71163648006912
32,forks-16,forks-17,420,DN-100,1084.896633,-1,493648.14214815036,22.840560474767074
33,forks-17,forks-6,580,,0.0,0,0.0,0.0
34,forks-17,producers-2,171,DN-100,1094.229518,-1,201155.0031619784,9.332884642514212
